Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-10-28 21:30",98.789,98.799,98.782,98.787,-0.001,0.00%,0
"2025-10-28 21:15",98.754,98.79,98.754,98.788,0.034,+0.03%,0
"2025-10-28 21:00",98.74,98.761,98.738,98.754,0.014,+0.01%,0
"2025-10-28 20:45",98.74,98.74,98.718,98.74,0,0.00%,0
"2025-10-28 20:30",98.707,98.743,98.704,98.74,0.033,+0.03%,0
"2025-10-28 20:15",98.68,98.717,98.667,98.707,0.027,+0.03%,0
"2025-10-28 20:00",98.674,98.694,98.658,98.68,0.006,+0.01%,0
"2025-10-28 19:45",98.673,98.681,98.634,98.674,0,0.00%,0
"2025-10-28 19:30",98.668,98.698,98.653,98.674,0.005,+0.01%,0
"2025-10-28 19:15",98.661,98.687,98.651,98.669,0.008,+0.01%,0
"2025-10-28 19:00",98.664,98.668,98.624,98.661,-0.002,0.00%,0
"2025-10-28 18:45",98.739,98.76,98.663,98.663,-0.074,-0.07%,0
"2025-10-28 18:30",98.737,98.737,98.737,98.737,0.006,+0.01%,0
"2025-10-28 17:00",98.729,98.737,98.721,98.731,0.002,0.00%,0
"2025-10-28 16:45",98.721,98.731,98.718,98.729,0.008,+0.01%,0
"2025-10-28 16:30",98.72,98.73,98.72,98.721,0.001,0.00%,0
"2025-10-28 16:15",98.727,98.73,98.719,98.72,-0.006,-0.01%,0
"2025-10-28 16:00",98.734,98.737,98.726,98.726,-0.008,-0.01%,0
"2025-10-28 15:45",98.717,98.736,98.71,98.734,0.017,+0.02%,0
"2025-10-28 15:30",98.72,98.738,98.712,98.717,-0.003,0.00%,0
"2025-10-28 15:15",98.701,98.725,98.692,98.72,0.019,+0.02%,0
"2025-10-28 15:00",98.72,98.72,98.694,98.701,-0.02,-0.02%,0
"2025-10-28 14:45",98.661,98.721,98.659,98.721,0.061,+0.06%,0
"2025-10-28 14:30",98.648,98.661,98.644,98.66,0.012,+0.01%,0
"2025-10-28 14:15",98.649,98.653,98.64,98.648,-0.002,0.00%,0
"2025-10-28 14:00",98.666,98.666,98.639,98.65,-0.017,-0.02%,0
"2025-10-28 13:45",98.695,98.696,98.661,98.667,-0.028,-0.03%,0
"2025-10-28 13:30",98.705,98.72,98.678,98.695,-0.009,-0.01%,0
"2025-10-28 13:15",98.679,98.705,98.671,98.704,0.025,+0.03%,0
"2025-10-28 13:00",98.67,98.699,98.667,98.679,0.009,+0.01%,0
"2025-10-28 12:45",98.67,98.686,98.662,98.67,0,0.00%,0
"2025-10-28 12:30",98.664,98.678,98.644,98.67,0.006,+0.01%,0
"2025-10-28 12:15",98.677,98.68,98.649,98.664,-0.013,-0.01%,0
"2025-10-28 12:00",98.63,98.696,98.622,98.677,0.047,+0.05%,0
"2025-10-28 11:45",98.718,98.73,98.627,98.63,-0.089,-0.09%,0
"2025-10-28 11:30",98.666,98.724,98.657,98.719,0.053,+0.05%,0
"2025-10-28 11:15",98.683,98.695,98.664,98.666,-0.016,-0.02%,0
"2025-10-28 11:00",98.682,98.702,98.668,98.682,-0.001,0.00%,0
"2025-10-28 10:45",98.655,98.709,98.65,98.683,0.028,+0.03%,0
"2025-10-28 10:30",98.679,98.679,98.642,98.655,-0.024,-0.02%,0
"2025-10-28 10:15",98.688,98.709,98.678,98.679,-0.008,-0.01%,0
"2025-10-28 10:00",98.679,98.689,98.629,98.687,0.007,+0.01%,0
"2025-10-28 09:45",98.691,98.711,98.672,98.68,-0.011,-0.01%,0
"2025-10-28 09:30",98.732,98.753,98.669,98.691,-0.042,-0.04%,0
"2025-10-28 09:15",98.791,98.797,98.71,98.733,-0.058,-0.06%,0
"2025-10-28 09:00",98.853,98.872,98.782,98.791,-0.061,-0.06%,0
"2025-10-28 08:45",98.894,98.899,98.847,98.852,-0.042,-0.04%,0
"2025-10-28 08:30",98.915,98.924,98.883,98.894,-0.018,-0.02%,0
"2025-10-28 08:15",98.935,98.947,98.902,98.912,-0.024,-0.02%,0
"2025-10-28 08:00",98.83,98.938,98.829,98.936,0.105,+0.11%,0
"2025-10-28 07:45",98.8,98.864,98.79,98.831,0.031,+0.03%,0
"2025-10-28 07:30",98.743,98.801,98.738,98.8,0.057,+0.06%,0
